dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000213,0.282575,0.001500,0.300000,30.000000,3000.000000,6.282432
0.010000,0.001339,0.282575,0.002627,0.112653,-18.734718,-4873.471804,0.000230
0.010000,0.012781,0.282589,0.014068,1.144167,103.151370,12188.608838,0.002206
0.010000,0.029937,0.282653,0.031224,1.715628,57.146126,-4600.524385,0.005192
0.010000,0.052800,0.282817,0.054088,2.286330,57.070187,-7.593965,0.009214
0.010000,0.079931,0.283133,0.081220,2.713255,42.692499,-1437.768819,0.014053
0.010000,0.108466,0.283607,0.109760,2.853939,14.068390,-2862.410845,0.019222
0.010000,0.136976,0.284230,0.138277,2.851721,-0.221782,-1429.017219,0.024469
0.010000,0.165461,0.285003,0.166771,2.849458,-0.226281,-0.449871,0.029796
0.010000,0.193917,0.285928,0.195243,2.847160,-0.229807,-0.352605,0.035204
0.010000,0.222345,0.287007,0.223692,2.844848,-0.231222,-0.141572,0.040696
0.010000,0.250743,0.288242,0.252116,2.842452,-0.239537,-0.831485,0.046272
0.010000,0.279109,0.289636,0.280516,2.840004,-0.244795,-0.525766,0.051934
0.010000,0.307441,0.291190,0.308891,2.837502,-0.250234,-0.543923,0.057685
0.010000,0.335738,0.292907,0.337241,2.834943,-0.255852,-0.561765,0.063525
0.010000,0.363999,0.294789,0.365564,2.832350,-0.259321,-0.346883,0.069457
0.010000,0.392223,0.296837,0.393862,2.829791,-0.255930,0.339078,0.075482
0.010000,0.420407,0.299055,0.422133,2.827066,-0.272513,-1.658341,0.081602
0.010000,0.448548,0.301445,0.450375,2.824278,-0.278828,-0.631434,0.087818
0.010000,0.476647,0.304008,0.478591,2.821563,-0.271437,0.739026,0.094134
0.010000,0.504701,0.306747,0.506778,2.818697,-0.286619,-1.518177,0.100550
0.010000,0.532707,0.309665,0.534935,2.815746,-0.295064,-0.844532,0.107069
0.010000,0.560664,0.312763,0.563064,2.812894,-0.285190,0.987460,0.113692
0.010000,0.588570,0.316044,0.591162,2.809790,-0.310461,-2.527143,0.120421
0.010000,0.616423,0.319511,0.619231,2.806829,-0.296120,1.434110,0.127259
