dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.001500,0.300000,30.000000,3000.000000,6.282432
0.010000,0.001405,0.000000,0.007500,0.900000,60.000000,3000.000000,0.000230
0.010000,0.013404,0.000015,0.019500,1.500000,60.000000,0.000000,0.002206
0.010000,0.031404,0.000081,0.037500,2.100000,60.000000,-0.000000,0.005192
0.010000,0.055404,0.000254,0.061500,2.700000,60.000000,0.000000,0.009214
0.010000,0.083902,0.000585,0.090000,3.000000,30.000000,-3000.000000,0.014053
0.010000,0.113897,0.001084,0.120000,3.000000,0.000000,-3000.000000,0.019222
0.010000,0.143890,0.001740,0.150000,3.000000,0.000000,0.000000,0.024469
0.010000,0.173879,0.002553,0.180000,3.000000,0.000000,0.000000,0.029796
0.010000,0.203863,0.003528,0.210000,3.000000,0.000000,0.000000,0.035204
0.010000,0.233842,0.004666,0.240000,3.000000,0.000000,0.000000,0.040696
0.010000,0.263813,0.005970,0.270000,3.000000,0.000000,0.000000,0.046272
0.010000,0.293777,0.007442,0.300000,3.000000,0.000000,0.000000,0.051934
0.010000,0.323732,0.009085,0.330000,3.000000,0.000000,0.000000,0.057685
0.010000,0.353677,0.010902,0.360000,3.000000,0.000000,0.000000,0.063525
0.010000,0.383610,0.012895,0.390000,3.000000,0.000000,0.000000,0.069457
0.010000,0.413532,0.015067,0.420000,3.000000,0.000000,0.000000,0.075482
0.010000,0.443440,0.017421,0.450000,3.000000,0.000000,0.000000,0.081602
0.010000,0.473332,0.019959,0.480000,3.000000,0.000000,0.000000,0.087818
0.010000,0.503208,0.022684,0.510000,3.000000,0.000000,0.000000,0.094134
0.010000,0.533066,0.025599,0.540000,3.000000,0.000000,0.000000,0.100550
0.010000,0.562904,0.028708,0.570000,3.000000,0.000000,0.000000,0.107069
0.010000,0.592722,0.032012,0.600000,3.000000,0.000000,0.000000,0.113692
0.010000,0.622516,0.035516,0.630000,3.000000,0.000000,0.000000,0.120421
0.010000,0.652287,0.039221,0.660000,3.000000,0.000000,0.000000,0.127259
0.010000,0.682030,0.043131,0.690000,3.000000,0.000000,0.000000,0.134207
0.010000,0.711746,0.047250,0.720000,3.000000,0.000000,0.000000,0.141267
0.010000,0.741432,0.051580,0.750000,3.000000,0.000000,0.000000,0.148441
0.010000,0.771086,0.056125,0.780000,3.000000,0.000000,0.000000,0.155731
0.010000,0.800705,0.060888,0.810000,3.000000,0.000000,0.000000,0.163139
0.010000,0.830288,0.065871,0.840000,3.000000,0.000000,0.000000,0.170667
0.010000,0.859833,0.071079,0.870000,3.000000,0.000000,0.000000,0.178317
0.010000,0.889336,0.076515,0.900000,3.000000,0.000000,0.000000,0.186091
0.010000,0.918796,0.082181,0.930000,3.000000,0.000000,0.000000,0.193991
0.010000,0.948209,0.088082,0.960000,3.000000,0.000000,0.000000,0.202019
