dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000213,-0.282575,0.001500,0.300000,30.000000,3000.000000,6.282432
0.010000,0.001470,-0.282575,0.003183,0.168255,-13.174479,-4317.447855,0.000230
0.010000,0.014028,-0.282560,0.015741,1.255823,108.756740,12193.121813,0.002206
0.010000,0.032871,-0.282490,0.034584,1.884356,62.853369,-4590.337023,0.005192
0.010000,0.058007,-0.282309,0.059721,2.513652,62.929525,7.615602,0.009214
0.010000,0.087873,-0.281962,0.089588,2.986744,47.309199,-1562.032663,0.014053
0.010000,0.119329,-0.281438,0.121049,3.146053,15.930927,-3137.827172,0.019222
0.010000,0.150804,-0.280751,0.152531,3.148259,0.220634,-1571.029257,0.024469
0.010000,0.182297,-0.279896,0.184036,3.150508,0.224893,0.425879,0.029796
0.010000,0.213809,-0.278872,0.215565,3.152812,0.230398,0.550506,0.035204
0.010000,0.245338,-0.277675,0.247117,3.155196,0.238421,0.802260,0.040696
0.010000,0.276884,-0.276303,0.278692,3.157586,0.238963,0.054256,0.046272
0.010000,0.308446,-0.274752,0.310293,3.160016,0.243050,0.408695,0.051934
0.010000,0.340024,-0.273020,0.341917,3.162487,0.247095,0.404434,0.057685
0.010000,0.371615,-0.271103,0.373567,3.164998,0.251096,0.400126,0.063525
0.010000,0.403221,-0.268999,0.405243,3.167575,0.257654,0.655847,0.069457
0.010000,0.434841,-0.266703,0.436946,3.170296,0.272070,1.441575,0.075482
0.010000,0.466473,-0.264214,0.468676,3.172938,0.264265,-0.780481,0.081602
0.010000,0.498115,-0.261527,0.500432,3.175619,0.268068,0.380275,0.087818
0.010000,0.529768,-0.258640,0.532217,3.178493,0.287450,1.938224,0.094134
0.010000,0.561431,-0.255548,0.564030,3.181309,0.281570,-0.588010,0.100550
0.010000,0.593101,-0.252249,0.595871,3.184143,0.283352,0.178123,0.107069
0.010000,0.624779,-0.248739,0.627743,3.187203,0.305995,2.264303,0.113692
0.010000,0.656462,-0.245013,0.659644,3.190092,0.288934,-1.706027,0.120421
0.010000,0.688150,-0.241069,0.691577,3.193261,0.316892,2.795802,0.127259
0.010000,0.719840,-0.236903,0.723539,3.196262,0.300141,-1.675116,0.134207
0.010000,0.751532,-0.232510,0.755535,3.199546,0.328368,2.822712,0.141267
0.010000,0.783223,-0.227887,0.787561,3.202665,0.311930,-1.643830,0.148441
0.010000,0.814914,-0.223030,0.819622,3.206028,0.336244,2.431366,0.155731
0.010000,0.846600,-0.217935,0.851715,3.209330,0.330270,-0.597349,0.163139
0.010000,0.878280,-0.212599,0.883842,3.212660,0.333007,0.273723,0.170667
0.010000,0.909954,-0.207015,0.916004,3.216217,0.355687,2.267954,0.178317
0.010000,0.941618,-0.201182,0.948201,3.219676,0.345886,-0.980097,0.186091
0.010000,0.973270,-0.195093,0.980433,3.223200,0.352357,0.647084,0.193991
0.010000,1.004907,-0.188746,1.012701,3.226792,0.359230,0.687336,0.202019
0.010000,1.036529,-0.182135,1.045006,3.230532,0.374015,1.478472,0.210176
0.010000,1.068131,-0.175257,1.077348,3.234229,0.369710,-0.430476,0.218465
0.010000,1.099712,-0.168107,1.109728,3.237985,0.375573,0.586265,0.226887
0.010000,1.131268,-0.160680,1.142146,3.241796,0.381138,0.556513,0.235444
0.010000,1.162796,-0.152971,1.174603,3.245660,0.386391,0.525308,0.244138
0.010000,1.194293,-0.144978,1.207098,3.249573,0.391317,0.492628,0.252971
0.010000,1.225756,-0.136694,1.239634,3.253533,0.395902,0.458451,0.261944
0.010000,1.257181,-0.128115,1.272209,3.257534,0.400129,0.422759,0.271058
0.010000,1.288566,-0.119237,1.304825,3.261574,0.403985,0.385535,0.280315
0.010000,1.319905,-0.110056,1.337481,3.265648,0.407452,0.346761,0.289717
0.010000,1.351195,-0.100565,1.370179,3.269753,0.410517,0.306425,0.299264
0.010000,1.382431,-0.090762,1.402918,3.273885,0.413162,0.264516,0.308958
0.010000,1.413611,-0.080641,1.435699,3.278103,0.421852,0.869073,0.318799
0.010000,1.444728,-0.070199,1.468522,3.282305,0.420164,-0.168853,0.328790
0.010000,1.475779,-0.059429,1.501387,3.286498,0.419322,-0.084208,0.338929
0.010000,1.506757,-0.048329,1.534294,3.290699,0.420041,0.071911,0.349218
0.010000,1.537659,-0.036894,1.567244,3.295004,0.430527,1.048611,0.359658
0.010000,1.568479,-0.025119,1.600236,3.299234,0.423023,-0.750446,0.370248
0.010000,1.599210,-0.013001,1.633270,3.303431,0.419651,-0.337163,0.380988
0.010000,1.629849,-0.000535,1.666348,3.307763,0.433223,1.357215,0.391878
0.010000,1.660387,0.012283,1.699467,3.311928,0.416476,-1.674741,0.402919
0.010000,1.690820,0.025456,1.732629,3.316178,0.424996,0.852030,0.414108
0.010000,1.721141,0.038988,1.765832,3.320334,0.415666,-0.933026,0.425445
0.010000,1.751344,0.052882,1.799077,3.324514,0.417993,0.232726,0.436930
0.010000,1.781420,0.067142,1.832363,3.328590,0.407554,-1.043874,0.448559
0.010000,1.811365,0.081771,1.865690,3.332703,0.411308,0.375408,0.460333
0.010000,1.841169,0.096772,1.899057,3.336660,0.395715,-1.559287,0.472249
0.010000,1.870827,0.112147,1.932463,3.340642,0.398220,0.250485,0.484304
0.010000,1.900331,0.127898,1.965908,3.344500,0.385813,-1.240751,0.496496
0.010000,1.929672,0.144029,1.999391,3.348258,0.375739,-1.007362,0.508822
0.010000,1.958844,0.160539,2.032911,3.351988,0.372987,-0.275200,0.521279
0.010000,1.987837,0.177432,2.066467,3.355577,0.358895,-1.409192,0.533863
0.010000,2.016644,0.194708,2.100057,3.359043,0.346633,-1.226222,0.546570
0.010000,2.045257,0.212368,2.133681,3.362396,0.335273,-1.136006,0.559396
0.010000,2.073667,0.230413,2.167338,3.365660,0.326391,-0.888206,0.572337
0.010000,2.101867,0.248842,2.201025,3.368753,0.309318,-1.707332,0.585388
0.010000,2.129847,0.267656,2.234742,3.371695,0.294217,-1.510036,0.598542
0.010000,2.157599,0.286853,2.268487,3.374484,0.278908,-1.530879,0.611796
0.010000,2.185115,0.306433,2.302258,3.377111,0.262668,-1.624021,0.625142
0.010000,2.212386,0.326394,2.336054,3.379566,0.245538,-1.712987,0.638576
0.010000,2.239403,0.346735,2.369872,3.381848,0.228233,-1.730544,0.652090
0.010000,2.266159,0.367452,2.403712,3.383940,0.209181,-1.905241,0.665678
0.010000,2.292646,0.388544,2.437570,3.385830,0.188936,-2.024433,0.679333
0.010000,2.318854,0.410007,2.471445,3.387518,0.168825,-2.011150,0.693048
0.010000,2.344776,0.431838,2.505335,3.388999,0.148104,-2.072093,0.706815
0.010000,2.370404,0.454032,2.539238,3.390267,0.126844,-2.125991,0.720627
0.010000,2.395731,0.476586,2.573151,3.391318,0.105119,-2.172472,0.734477
0.010000,2.420748,0.499494,2.607072,3.392149,0.083007,-2.211207,0.748355
0.010000,2.445450,0.522752,2.641000,3.392754,0.060588,-2.241923,0.762256
0.010000,2.469828,0.546353,2.674931,3.393134,0.037944,-2.264397,0.776169
0.010000,2.493876,0.570293,2.708864,3.393285,0.015159,-2.278468,0.790088
0.010000,2.517589,0.594564,2.742796,3.393209,-0.007681,-2.284032,0.804004
0.010000,2.540959,0.619161,2.776725,3.392904,-0.030492,-2.281051,0.817910
0.010000,2.563982,0.644076,2.810649,3.392372,-0.053187,-2.269544,0.831796
